matchday,position,team,matches,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points
14,11,Borussia Mönchengladbach,14,6,3,5,23.0,19.0,4.0,21
14,12,1. FC Union Berlin,14,4,4,6,12.0,16.0,-4.0,16
14,13,FC Augsburg,14,4,4,6,16.0,27.0,-11.0,16
14,14,TSG 1899 Hoffenheim,14,3,5,6,19.0,26.0,-7.0,14
14,15,FC St. Pauli,14,3,2,9,11.0,19.0,-8.0,11
14,16,1. FC Heidenheim 1846,14,3,1,10,18.0,31.0,-13.0,10
14,17,VfL Bochum,14,1,2,11,12.0,34.0,-22.0,5
14,18,Holstein Kiel,14,1,2,11,14.0,37.0,-23.0,5
15,1,FC Bayern München,15,11,3,1,47.0,13.0,34.0,36
15,2,Bayer Leverkusen,15,9,5,1,37.0,21.0,16.0,32
15,3,Eintracht Frankfurt,15,8,3,4,35.0,23.0,12.0,27
15,4,RB Leipzig,15,8,3,4,24.0,20.0,4.0,27
15,5,1. FSV Mainz 05,15,7,4,4,28.0,20.0,8.0,25
15,6,Borussia Dortmund,15,7,4,4,28.0,22.0,6.0,25
15,7,Werder Bremen,15,7,4,4,26.0,25.0,1.0,25
15,8,Borussia Mönchengladbach,15,7,3,5,25.0,20.0,5.0,24
15,9,SC Freiburg,15,7,3,5,21.0,24.0,-3.0,24
15,10,VfB Stuttgart,15,6,5,4,29.0,25.0,4.0,23
15,11,VfL Wolfsburg,15,6,3,6,32.0,28.0,4.0,21
15,12,1. FC Union Berlin,15,4,4,7,13.0,20.0,-7.0,16
15,13,FC Augsburg,15,4,4,7,17.0,32.0,-15.0,16
15,14,FC St. Pauli,15,4,2,9,12.0,19.0,-7.0,14
15,15,TSG 1899 Hoffenheim,15,3,5,7,20.0,28.0,-8.0,14
15,16,1. FC Heidenheim 1846,15,3,1,11,18.0,33.0,-15.0,10
15,17,Holstein Kiel,15,2,2,11,19.0,38.0,-19.0,8
15,18,VfL Bochum,15,2,2,11,14.0,34.0,-20.0,8
16,1,FC Bayern München,16,12,3,1,48.0,13.0,35.0,39
16,2,Bayer Leverkusen,16,10,5,1,40.0,23.0,17.0,35
16,3,Eintracht Frankfurt,16,9,3,4,36.0,23.0,13.0,30
16,4,RB Leipzig,16,9,3,4,28.0,22.0,6.0,30
16,5,1. FSV Mainz 05,16,8,4,4,30.0,20.0,10.0,28
16,6,SC Freiburg,16,8,3,5,24.0,26.0,-2.0,27
16,7,VfB Stuttgart,16,7,5,4,30.0,25.0,5.0,26
16,8,Borussia Dortmund,16,7,4,5,30.0,25.0,5.0,25
16,9,Werder Bremen,16,7,4,5,28.0,29.0,-1.0,25
16,10,VfL Wolfsburg,16,7,3,6,33.0,28.0,5.0,24
16,11,Borussia Mönchengladbach,16,7,3,6,25.0,21.0,4.0,24
16,12,1. FC Union Berlin,16,4,4,8,13.0,22.0,-9.0,16
16,13,FC Augsburg,16,4,4,8,17.0,33.0,-16.0,16
16,14,FC St. Pauli,16,4,2,10,12.0,20.0,-8.0,14
16,15,TSG 1899 Hoffenheim,16,3,5,8,20.0,29.0,-9.0,14
16,16,1. FC Heidenheim 1846,16,4,1,11,20.0,33.0,-13.0,13
16,17,Holstein Kiel,16,2,2,12,21.0,41.0,-20.0,8
16,18,VfL Bochum,16,2,2,12,14.0,36.0,-22.0,8
17,1,FC Bayern München,17,13,3,1,53.0,13.0,40.0,42
17,2,Bayer Leverkusen,17,11,5,1,41.0,23.0,18.0,38
17,3,Eintracht Frankfurt,17,10,3,4,40.0,24.0,16.0,33
17,4,RB Leipzig,17,9,3,5,29.0,24.0,5.0,30
17,5,VfB Stuttgart,17,8,5,4,32.0,26.0,6.0,29
17,6,1. FSV Mainz 05,17,8,4,5,30.0,21.0,9.0,28
17,7,VfL Wolfsburg,17,8,3,6,38.0,29.0,9.0,27
17,8,SC Freiburg,17,8,3,6,25.0,30.0,-5.0,27
17,9,Werder Bremen,17,7,5,5,31.0,32.0,-1.0,26
17,10,Borussia Dortmund,17,7,4,6,32.0,29.0,3.0,25
17,11,Borussia Mönchengladbach,17,7,3,7,26.0,26.0,0.0,24
17,12,FC Augsburg,17,5,4,8,19.0,33.0,-14.0,19
17,13,1. FC Union Berlin,17,4,4,9,13.0,24.0,-11.0,16
17,14,FC St. Pauli,17,4,2,11,12.0,21.0,-9.0,14
17,15,1. FC Heidenheim 1846,17,4,2,11,23.0,36.0,-13.0,14
17,16,TSG 1899 Hoffenheim,17,3,5,9,20.0,34.0,-14.0,14
17,17,Holstein Kiel,17,3,2,12,25.0,43.0,-18.0,11
17,18,VfL Bochum,17,3,2,12,15.0,36.0,-21.0,11
18,1,FC Bayern München,18,14,3,1,56.0,15.0,41.0,45
18,2,Bayer Leverkusen,18,12,5,1,44.0,24.0,20.0,41
18,3,Eintracht Frankfurt,18,11,3,4,42.0,24.0,18.0,36
18,4,VfB Stuttgart,18,9,5,4,36.0,26.0,10.0,32
18,5,RB Leipzig,18,9,4,5,32.0,27.0,5.0,31
18,6,1. FSV Mainz 05,18,8,4,6,31.0,23.0,8.0,28
18,7,VfL Wolfsburg,18,8,3,7,40.0,32.0,8.0,27
18,8,SC Freiburg,18,8,3,7,25.0,34.0,-9.0,27
18,9,Werder Bremen,18,7,5,6,31.0,34.0,-3.0,26
18,10,Borussia Dortmund,18,7,4,7,32.0,31.0,1.0,25
18,11,Borussia Mönchengladbach,18,7,3,8,27.0,29.0,-2.0,24
18,12,FC Augsburg,18,6,4,8,21.0,33.0,-12.0,22
18,13,1. FC Union Berlin,18,5,4,9,15.0,25.0,-10.0,19
18,14,FC St. Pauli,18,5,2,11,14.0,21.0,-7.0,17
18,15,TSG 1899 Hoffenheim,18,4,5,9,23.0,35.0,-12.0,17
18,16,1. FC Heidenheim 1846,18,4,2,12,23.0,38.0,-15.0,14
18,17,VfL Bochum,18,3,3,12,18.0,39.0,-21.0,12
18,18,Holstein Kiel,18,3,2,13,26.0,46.0,-20.0,11
19,1,FC Bayern München,19,15,3,1,58.0,16.0,42.0,48
19,2,Bayer Leverkusen,19,12,6,1,46.0,26.0,20.0,42
19,3,Eintracht Frankfurt,19,11,4,4,44.0,26.0,18.0,37
19,4,VfB Stuttgart,19,9,5,5,36.0,28.0,8.0,32
19,5,RB Leipzig,19,9,5,5,34.0,29.0,5.0,32
19,6,1. FSV Mainz 05,19,9,4,6,33.0,23.0,10.0,31
19,7,VfL Wolfsburg,19,8,4,7,42.0,34.0,8.0,28
19,8,Borussia Mönchengladbach,19,8,3,8,30.0,29.0,1.0,27
19,9,Werder Bremen,19,7,6,6,33.0,36.0,-3.0,27
19,10,SC Freiburg,19,8,3,8,26.0,36.0,-10.0,27
19,11,Borussia Dortmund,19,7,5,7,34.0,33.0,1.0,26
19,12,FC Augsburg,19,7,4,8,23.0,34.0,-11.0,25
19,13,FC St. Pauli,19,6,2,11,17.0,21.0,-4.0,20
19,14,1. FC Union Berlin,19,5,4,10,15.0,28.0,-13.0,19
19,15,TSG 1899 Hoffenheim,19,4,6,9,25.0,37.0,-12.0,18
19,16,1. FC Heidenheim 1846,19,4,2,13,24.0,40.0,-16.0,14
19,17,Holstein Kiel,19,3,3,13,28.0,48.0,-20.0,12
19,18,VfL Bochum,19,3,3,13,18.0,42.0,-24.0,12
20,1,FC Bayern München,20,16,3,1,62.0,19.0,43.0,51
20,2,Bayer Leverkusen,20,13,6,1,49.0,27.0,22.0,45
20,3,Eintracht Frankfurt,20,11,5,4,45.0,27.0,18.0,38
20,4,RB Leipzig,20,9,6,5,34.0,29.0,5.0,33
20,5,VfB Stuttgart,20,9,5,6,37.0,30.0,7.0,32
20,6,1. FSV Mainz 05,20,9,4,7,33.0,24.0,9.0,31
20,7,Borussia Mönchengladbach,20,9,3,8,32.0,30.0,2.0,30
20,8,Werder Bremen,20,8,6,6,34.0,36.0,-2.0,30
20,9,SC Freiburg,20,9,3,8,27.0,36.0,-9.0,30
20,10,VfL Wolfsburg,20,8,5,7,43.0,35.0,8.0,29
20,11,Borussia Dortmund,20,8,5,7,36.0,34.0,2.0,29
20,12,FC Augsburg,20,7,5,8,24.0,35.0,-11.0,26
20,13,FC St. Pauli,20,6,3,11,18.0,22.0,-4.0,21
20,14,1. FC Union Berlin,20,5,5,10,15.0,28.0,-13.0,20
20,15,TSG 1899 Hoffenheim,20,4,6,10,26.0,40.0,-14.0,18
20,16,1. FC Heidenheim 1846,20,4,2,14,25.0,42.0,-17.0,14
20,17,Holstein Kiel,20,3,3,14,31.0,52.0,-21.0,12
20,18,VfL Bochum,20,3,3,14,18.0,43.0,-25.0,12
21,1,FC Bayern München,21,17,3,1,65.0,19.0,46.0,54
21,2,Bayer Leverkusen,21,13,7,1,49.0,27.0,22.0,46
21,3,Eintracht Frankfurt,21,11,6,4,46.0,28.0,18.0,39
21,4,RB Leipzig,21,10,6,5,36.0,29.0,7.0,36
21,5,VfB Stuttgart,21,10,5,6,39.0,31.0,8.0,35
21,6,SC Freiburg,21,10,3,8,28.0,36.0,-8.0,33
21,7,1. FSV Mainz 05,21,9,5,7,33.0,24.0,9.0,32
21,8,Borussia Mönchengladbach,21,9,4,8,33.0,31.0,2.0,31
21,9,VfL Wolfsburg,21,8,6,7,43.0,35.0,8.0,30
21,10,Werder Bremen,21,8,6,7,34.0,39.0,-5.0,30
21,11,Borussia Dortmund,21,8,5,8,37.0,36.0,1.0,29
21,12,FC Augsburg,21,7,6,8,24.0,35.0,-11.0,27
21,13,1. FC Union Berlin,21,6,5,10,19.0,28.0,-9.0,23
21,14,FC St. Pauli,21,6,3,12,18.0,24.0,-6.0,21
21,15,TSG 1899 Hoffenheim,21,4,6,11,26.0,44.0,-18.0,18
21,16,1. FC Heidenheim 1846,21,4,2,15,25.0,43.0,-18.0,14
21,17,Holstein Kiel,21,3,4,14,33.0,54.0,-21.0,13
21,18,VfL Bochum,21,3,4,14,20.0,45.0,-25.0,13
22,1,FC Bayern München,22,17,4,1,65.0,19.0,46.0,55
22,2,Bayer Leverkusen,22,13,8,1,49.0,27.0,22.0,47
22,3,Eintracht Frankfurt,22,12,6,4,49.0,29.0,20.0,42
22,4,RB Leipzig,22,10,7,5,36.0,29.0,7.0,37
22,5,SC Freiburg,22,11,3,8,29.0,36.0,-7.0,36
22,6,1. FSV Mainz 05,22,10,5,7,35.0,24.0,11.0,35
22,7,VfB Stuttgart,22,10,5,7,40.0,33.0,7.0,35
22,8,Borussia Mönchengladbach,22,10,4,8,35.0,32.0,3.0,34
22,9,VfL Wolfsburg,22,9,6,7,45.0,36.0,9.0,33
22,10,Werder Bremen,22,8,6,8,35.0,42.0,-7.0,30
22,11,Borussia Dortmund,22,8,5,9,37.0,38.0,-1.0,29
22,12,FC Augsburg,22,7,7,8,24.0,35.0,-11.0,28
22,13,1. FC Union Berlin,22,6,5,11,20.0,30.0,-10.0,23
22,14,FC St. Pauli,22,6,3,13,18.0,25.0,-7.0,21
22,15,TSG 1899 Hoffenheim,22,5,6,11,29.0,45.0,-16.0,21
22,16,VfL Bochum,22,4,4,14,22.0,45.0,-23.0,16
22,17,1. FC Heidenheim 1846,22,4,2,16,25.0,45.0,-20.0,14
22,18,Holstein Kiel,22,3,4,15,34.0,57.0,-23.0,13
23,1,FC Bayern München,23,18,4,1,69.0,19.0,50.0,58
23,2,Bayer Leverkusen,23,14,8,1,51.0,27.0,24.0,50
23,3,Eintracht Frankfurt,23,12,6,5,49.0,33.0,16.0,42
23,4,SC Freiburg,23,12,3,8,34.0,36.0,-2.0,39
23,5,1. FSV Mainz 05,23,11,5,7,37.0,24.0,13.0,38
23,6,RB Leipzig,23,10,8,5,38.0,31.0,7.0,38
23,7,VfB Stuttgart,23,10,6,7,41.0,34.0,7.0,36
23,8,VfL Wolfsburg,23,9,7,7,46.0,37.0,9.0,34
23,9,Borussia Mönchengladbach,23,10,4,9,35.0,35.0,0.0,34
23,10,Borussia Dortmund,23,9,5,9,43.0,38.0,5.0,32
23,11,FC Augsburg,23,8,7,8,27.0,35.0,-8.0,31
23,12,Werder Bremen,23,8,6,9,35.0,47.0,-12.0,30
23,13,1. FC Union Berlin,23,6,5,12,20.0,36.0,-16.0,23
23,14,TSG 1899 Hoffenheim,23,5,7,11,30.0,46.0,-16.0,22
23,15,FC St. Pauli,23,6,3,14,18.0,27.0,-9.0,21
23,16,VfL Bochum,23,4,5,14,23.0,46.0,-23.0,17
23,17,1. FC Heidenheim 1846,23,4,3,16,27.0,47.0,-20.0,15
23,18,Holstein Kiel,23,3,4,16,34.0,59.0,-25.0,13
24,1,FC Bayern München,24,19,4,1,72.0,20.0,52.0,61
24,2,Bayer Leverkusen,24,15,8,1,55.0,28.0,27.0,53
24,3,Eintracht Frankfurt,24,12,6,6,50.0,37.0,13.0,42
24,4,1. FSV Mainz 05,24,12,5,7,39.0,25.0,14.0,41
24,5,SC Freiburg,24,12,4,8,34.0,36.0,-2.0,40
24,6,RB Leipzig,24,10,8,6,39.0,33.0,6.0,38
24,7,VfL Wolfsburg,24,10,7,7,48.0,38.0,10.0,37
24,8,Borussia Mönchengladbach,24,11,4,9,38.0,35.0,3.0,37
24,9,VfB Stuttgart,24,10,6,8,42.0,37.0,5.0,36
24,10,Borussia Dortmund,24,10,5,9,45.0,38.0,7.0,35
24,11,FC Augsburg,24,8,8,8,27.0,35.0,-8.0,32
24,12,Werder Bremen,24,8,6,10,36.0,49.0,-13.0,30
24,13,TSG 1899 Hoffenheim,24,6,7,11,31.0,46.0,-15.0,25
24,14,1. FC Union Berlin,24,6,5,13,20.0,37.0,-17.0,23
24,15,FC St. Pauli,24,6,3,15,18.0,29.0,-11.0,21
24,16,VfL Bochum,24,4,5,15,23.0,47.0,-24.0,17
24,17,Holstein Kiel,24,4,4,16,35.0,59.0,-24.0,16
24,18,1. FC Heidenheim 1846,24,4,3,17,27.0,50.0,-23.0,15
25,1,FC Bayern München,25,19,4,2,74.0,23.0,51.0,61
25,2,Bayer Leverkusen,25,15,8,2,55.0,30.0,25.0,53
25,3,1. FSV Mainz 05,25,13,5,7,42.0,26.0,16.0,44
