matchday,position,team,matches,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points
29,17,VfL Bochum,29,5,5,19,29.0,61.0,-32.0,20
29,18,Holstein Kiel,29,4,6,19,40.0,70.0,-30.0,18
30,1,FC Bayern München,30,22,6,2,87.0,29.0,58.0,72
30,2,Bayer Leverkusen,30,18,10,2,64.0,35.0,29.0,64
30,3,Eintracht Frankfurt,30,15,7,8,58.0,42.0,16.0,52
30,4,RB Leipzig,30,13,10,7,48.0,38.0,10.0,49
30,5,SC Freiburg,30,14,6,10,43.0,47.0,-4.0,48
30,6,1. FSV Mainz 05,30,13,8,9,48.0,36.0,12.0,47
30,7,Borussia Dortmund,30,13,6,11,57.0,47.0,10.0,45
30,8,Werder Bremen,30,13,6,11,48.0,54.0,-6.0,45
30,9,Borussia Mönchengladbach,30,13,5,12,48.0,46.0,2.0,44
30,10,FC Augsburg,30,11,10,9,33.0,40.0,-7.0,43
30,11,VfB Stuttgart,30,11,8,11,56.0,50.0,6.0,41
30,12,VfL Wolfsburg,30,10,9,11,53.0,47.0,6.0,39
30,13,1. FC Union Berlin,30,9,8,13,30.0,44.0,-14.0,35
30,14,FC St. Pauli,30,8,6,16,26.0,36.0,-10.0,30
30,15,TSG 1899 Hoffenheim,30,7,9,14,38.0,55.0,-17.0,30
30,16,1. FC Heidenheim 1846,30,6,4,20,32.0,60.0,-28.0,22
30,17,VfL Bochum,30,5,5,20,29.0,62.0,-33.0,20
30,18,Holstein Kiel,30,4,7,19,41.0,71.0,-30.0,19
31,1,FC Bayern München,31,23,6,2,90.0,29.0,61.0,75
31,2,Bayer Leverkusen,31,19,10,2,66.0,35.0,31.0,67
31,3,Eintracht Frankfurt,31,16,7,8,62.0,42.0,20.0,55
31,4,SC Freiburg,31,15,6,10,44.0,47.0,-3.0,51
31,5,RB Leipzig,31,13,10,8,48.0,42.0,6.0,49
31,6,Borussia Dortmund,31,14,6,11,60.0,49.0,11.0,48
31,7,1. FSV Mainz 05,31,13,8,10,48.0,39.0,9.0,47
31,8,Werder Bremen,31,13,7,11,48.0,54.0,-6.0,46
31,9,Borussia Mönchengladbach,31,13,5,13,51.0,50.0,1.0,44
31,10,FC Augsburg,31,11,10,10,33.0,42.0,-9.0,43
31,11,VfB Stuttgart,31,11,8,12,56.0,51.0,5.0,41
31,12,VfL Wolfsburg,31,10,9,12,53.0,48.0,5.0,39
31,13,1. FC Union Berlin,31,9,9,13,31.0,45.0,-14.0,36
31,14,FC St. Pauli,31,8,7,16,26.0,36.0,-10.0,31
31,15,TSG 1899 Hoffenheim,31,7,9,15,40.0,58.0,-18.0,30
31,16,1. FC Heidenheim 1846,31,7,4,20,33.0,60.0,-27.0,25
31,17,Holstein Kiel,31,5,7,19,45.0,74.0,-29.0,22
31,18,VfL Bochum,31,5,6,20,30.0,63.0,-33.0,21
